map,lambda,r,steps,caught,reached,path_cost,avg_plan_time
../data/map\map-0.csv,0.25,2,45,1,0,45.0,0.6370631244473366
../data/map\map-0.csv,0.25,3,96,1,0,103.0,0.8242075395731566
../data/map\map-0.csv,0.25,4,128,0,0,128.0,0.6583761414131004
../data/map\map-0.csv,0.25,5,128,0,0,129.0,0.4787562703149888
../data/map\map-0.csv,0.25,6,128,0,0,128.0,0.6959473843753585
../data/map\map-0.csv,0.25,7,128,0,0,128.0,0.7310878492162374
../data/map\map-0.csv,0.25,8,84,0,1,84.0,0.53979874762202
../data/map\map-0.csv,0.25,9,128,0,0,137.0,0.4955848812551267
../data/map\map-0.csv,0.25,10,128,0,0,130.0,0.7337604624926826
../data/map\map-0.csv,0.5,2,45,1,0,45.0,0.7576210111069183
../data/map\map-0.csv,0.5,3,96,1,0,103.0,0.647356098954333
../data/map\map-0.csv,0.5,4,128,0,0,128.0,0.4805674679691947
../data/map\map-0.csv,0.5,5,128,0,0,129.0,0.6905081703171163
../data/map\map-0.csv,0.5,6,128,0,0,128.0,0.6857767070296177
../data/map\map-0.csv,0.5,7,128,0,0,128.0,0.5129212468727928
../data/map\map-0.csv,0.5,8,84,0,1,88.0,0.4882296154724567
../data/map\map-0.csv,0.5,9,128,0,0,133.0,0.8216035921941511
../data/map\map-0.csv,0.5,10,128,0,0,130.0,0.7177835554712146
../data/map\map-0.csv,0.75,2,45,1,0,45.0,0.49003098890081875
../data/map\map-0.csv,0.75,3,96,1,0,103.0,0.5024170343749574
../data/map\map-0.csv,0.75,4,128,0,0,128.0,0.7873688648460302
../data/map\map-0.csv,0.75,5,128,0,0,129.0,0.7163618875028988
../data/map\map-0.csv,0.75,6,128,0,0,128.0,0.5152442906291981
../data/map\map-0.csv,0.75,7,128,0,0,128.0,0.4976652765635663
../data/map\map-0.csv,0.75,8,84,0,1,88.0,0.7609272607106028
../data/map\map-0.csv,0.75,9,128,0,0,133.0,0.7375199976531803
../data/map\map-0.csv,0.75,10,128,0,0,130.0,0.5505620570302199
../data/map\map-0.csv,1,2,45,1,0,45.0,0.4610663511169453
../data/map\map-0.csv,1,3,96,1,0,103.0,0.7897561302136941
../data/map\map-0.csv,1,4,128,0,0,128.0,0.7805440765578169
../data/map\map-0.csv,1,5,128,0,0,129.0,0.5842568031275732
../data/map\map-0.csv,1,6,128,0,0,128.0,0.5107504273428276
../data/map\map-0.csv,1,7,128,0,0,128.0,0.6991146414038667
../data/map\map-0.csv,1,8,84,0,1,88.0,0.773680634533299
../data/map\map-0.csv,1,9,128,0,0,133.0,0.5838420273385054
../data/map\map-0.csv,1,10,128,0,0,130.0,0.5176937062515208
../data/map\map-0.csv,1.5,2,45,1,0,45.0,0.5806114000035449
../data/map\map-0.csv,1.5,3,96,1,0,103.0,0.7513021854235072
../data/map\map-0.csv,1.5,4,128,0,0,128.0,0.7143738140593996
../data/map\map-0.csv,1.5,5,128,0,0,129.0,0.4865716804706608
../data/map\map-0.csv,1.5,6,128,0,0,128.0,0.7032039531186456
../data/map\map-0.csv,1.5,7,128,0,0,128.0,0.7201138765576616
../data/map\map-0.csv,1.5,8,84,0,1,88.0,0.571141341660959
../data/map\map-0.csv,1.5,9,128,0,0,133.0,0.5222750085904408
../data/map\map-0.csv,1.5,10,128,0,0,130.0,0.750104464848846
../data/map\map-0.csv,2,2,45,1,0,45.0,0.7599681199942198
../data/map\map-0.csv,2,3,96,1,0,103.0,0.6014238947864214
../data/map\map-0.csv,2,4,128,0,0,128.0,0.516472350001095
../data/map\map-0.csv,2,5,128,0,0,129.0,0.7517651476637184
../data/map\map-0.csv,2,6,128,0,0,128.0,0.6929135234368005
../data/map\map-0.csv,2,7,128,0,0,128.0,0.4953741125036686
../data/map\map-0.csv,2,8,84,0,1,88.0,0.5270740166694546
../data/map\map-0.csv,2,9,128,0,0,133.0,0.7906560015571813
../data/map\map-0.csv,2,10,128,0,0,130.0,0.7080430382766281
../data/map\map-1.csv,0.25,2,69,0,1,71.0,0.5052223869471176
../data/map\map-1.csv,0.25,3,69,0,1,71.0,0.4903757449246241
../data/map\map-1.csv,0.25,4,72,0,1,77.0,0.6443802916716473
../data/map\map-1.csv,0.25,5,71,0,1,73.0,0.7467196436621852
../data/map\map-1.csv,0.25,6,70,0,1,76.0,0.707413355710118
../data/map\map-1.csv,0.25,7,76,0,1,82.0,0.622850846050393
../data/map\map-1.csv,0.25,8,128,0,0,135.0,0.79531982187018
../data/map\map-1.csv,0.25,9,128,0,0,134.0,0.7067360023511355
../data/map\map-1.csv,0.25,10,128,0,0,135.0,0.5004091531282029
../data/map\map-1.csv,0.5,2,69,0,1,71.0,0.46524387681384344
../data/map\map-1.csv,0.5,3,69,0,1,71.0,0.48799264783113927
../data/map\map-1.csv,0.5,4,72,1,0,78.0,0.48618654998911853
../data/map\map-1.csv,0.5,5,72,0,1,75.0,0.4904439250013739
../data/map\map-1.csv,0.5,6,71,0,1,78.0,0.48753650000148363
../data/map\map-1.csv,0.5,7,76,0,1,82.0,0.4671797907917368
../data/map\map-1.csv,0.5,8,128,0,0,135.0,0.5087654898388791
../data/map\map-1.csv,0.5,9,128,0,0,130.0,0.4985340273406109
../data/map\map-1.csv,0.5,10,128,0,0,132.0,0.6262237132832524
../data/map\map-1.csv,0.75,2,69,0,1,71.0,0.46126161449575337
../data/map\map-1.csv,0.75,3,69,0,1,71.0,0.46181660869489494
../data/map\map-1.csv,0.75,4,72,1,0,78.0,0.47700296528314035
../data/map\map-1.csv,0.75,5,72,0,1,75.0,0.5012349944477642
../data/map\map-1.csv,0.75,6,71,0,1,78.0,0.461542054923894
../data/map\map-1.csv,0.75,7,76,0,1,82.0,0.4650431289506071
../data/map\map-1.csv,0.75,8,128,0,0,135.0,0.4882784242181515
../data/map\map-1.csv,0.75,9,128,0,0,130.0,0.5931776421839459
